Token;Repeticiones;# de archivos
a;28492;425
aa;32;7
aaa;24;7
aaas;2;2
aac;2;2
aachen;6;4
aacisd;1;1
aacute;3288;43
aacutelt;1;1
aacutev;1;1
aads;2;2
aae;1;1
aaeliberalis;1;1
aaemassago;1;1
aaemegvalosult;1;1
aai;1;1
aaicorp;5;5
aakb;1;1
aalen;1;1
aamc;4;4
aandalsnes;1;1
aaped;3;3
aar;5;4
aardvark;1;1
aarhus;1;1
aaron;9;3
aarp;7;5
aartselaar;1;1
aas;2;2
aasad;1;1
aascpa;4;3
aau;20;5
aauw;1;1
ab;245;14
ababa;2;1
abacha;1;1
abacom;9;5
abacs;1;1
abacus;1;1
abaforum;1;1
abalczo;1;1
abalkanon;1;1
aball;1;1
abaloldalizasnak;1;1
abalon;1;1
aban;2;1
abandon;5;4
abandoned;1;1
abandoning;3;3
abandonment;2;2
abang;1;1
abank;1;1
abanknak;1;1
abankoknak;2;1
abankrendszer;1;1
abankuralom;1;1
abastece;2;2
abastecer;1;1
abasteciendo;1;1
abastecimiento;2;1
abate;1;1
abated;2;1
abazilika;1;1
abb;39;11
abba;4;4
abbahagyta;3;2
abban;89;36
abbanremenykedik;1;1
abbate;1;1
abbe;1;1
abbeval;1;1
abbey;1;1
abbie;1;1
abbitt;2;2
abbol;16;13
abboladodnak;1;1
abbott;5;5
abby;1;1
abc;24;10
abcs;2;2
abd;1;1
abdication;2;2
abdn;5;4
abdnor;12;12
abdomen;1;1
abdominal;1;1
abducted;1;1
abduction;1;1
abdul;3;3
abecslesek;1;1
abefizeteseket;1;1
abefolyasolasi;1;1
abehelyettesit;1;1
abeking;1;1
abelcomputers;1;1
abelink;4;4
abelugyminiszter;1;1
abennunket;1;1
abenzinarakat;1;1
abeolvaszto;1;1
aber;13;6
abercrombie;1;1
aberdeen;12;5
abernethy;2;2
aberranciajat;1;1
abest;3;3
abeszeloben;1;1
abetegeket;1;1
abetting;8;2
abginc;1;1
abiboros;1;1
abide;3;3
abiertos;4;2
abigail;1;1
abilene;6;4
abilities;20;12
ability;94;52
abizottsagi;1;1
abiztatas;1;1
abiztosan;1;1
abiztositotol;1;1
ablakok;1;1
ablakon;1;1
able;81;55
ablecom;3;3
abm;2;2
abmv;1;1
abn;1;1
abnormal;2;2
abnormally;1;1
abo;5;5
aboard;13;12
aboimov;1;1
abol;1;1
abolish;4;3
abolishing;4;4
abolishment;3;2
abolition;31;5
abolitionism;4;2
abolitionist;3;2
abolitionists;2;1
abolsevizmust;1;1
abonyi;1;1
aboricultural;1;1
aboriginal;2;1
abort;1;1
aborted;2;2
abortion;63;13
abortions;14;5
abortusz;2;1
abortuszra;1;1
abortuszt;1;1
aboszniai;2;2
abou;2;2
abourezk;7;7
about;514;182
above;59;40
abovitessel;1;1
abq;17;6
abraham;8;4
abrand;2;1
abrasive;1;1
abrazolni;1;1
abre;1;1
abreast;3;3
abrechnung;1;1
abrenthez;1;1
abriendo;1;1
abril;8;4
abrir;1;1
abrit;1;1
abroad;37;23
abrock;1;1
abrupt;3;2
abrutto;2;2
abs;8;5
absa;1;1
absalom;2;2
absence;22;21
absences;1;1
absent;4;3
absentee;1;1
absenteeism;2;2
absentia;2;2
absolute;14;11
absolutely;4;4
absolutes;2;2
absorb;2;2
absorbed;2;2
absorber;1;1
absorbers;1;1
absorption;1;1
abstinence;1;1
abstract;20;14
abstraction;1;1
abstractions;2;2
abstracts;3;3
absurd;2;2
absurdism;2;1
absurdist;1;1
absurdities;1;1
absurdity;5;3
abszol;1;1
abszolut;7;7
abszolute;1;1
abszolutizmus;1;1
abszurd;3;3
abszurditasat;1;1
abszurdumbol;1;1
abu;1;1
abudapesti;4;4
abukassal;1;1
abumnerang;1;1
abundance;6;5
abundant;5;4
abunozesnek;1;1
abuntetes;1;1
abunuldozo;1;1
abuse;193;31
abused;11;4
abuser;12;3
abusers;5;3
abuses;9;9
abusing;2;2
abusive;5;5
abuzz;1;1
abwam;1;1
abzsh;1;1
abzug;4;4
ac;1151;9
aca;7;5
acacianet;1;1
acad;5;2
acadadv;1;1
acadaff;1;1
academia;7;4
academic;46;26
academically;1;1
academics;2;2
academy;15;11
acadia;5;5
acadian;2;1
acadians;1;1
acadiau;5;5
acambuco;6;6
acampbel;1;1
acasa;2;1
acast;4;4
acatadas;1;1
acatlan;2;2
acay;2;2
acb;2;2
acc;29;5
acccss;3;3
accelarating;1;1
accelerated;3;3
accelerating;1;1
acceleration;7;5
accelerations;2;2
accent;6;6
accents;1;1
accentsoft;2;2
accentuated;3;1
accentuating;1;1
accept;33;28
acceptability;2;2
acceptable;17;16
acceptance;15;14
accepte;1;1
accepted;16;16
accepting;6;6
acception;1;1
accepts;5;5
acceso;1;1
access;308;55
accesscom;7;6
accesscomm;3;3
accessed;7;6
accesses;3;1
accessibility;3;3
accessible;7;7
accessing;17;4
accesslogarchive;1;1
accesslogexcludemethod;1;1
accesslogexcludemimetype;1;1
accesslogexcludereturncode;1;1
accesslogexcludeurl;1;1
accesslogexpire;1;1
accesslogsizelimit;1;1
accessnv;5;5
accessone;5;5
accessories;12;7
accessprovider;1;1
accessreportdescription;1;1
accessreportexcludehostname;1;1
accessreportexcludemethod;1;1
accessreportexcludereturncode;1;1
accessreportexcludeurl;1;1
accessreportincludehostname;1;1
accessreportincludeurl;1;1
accessreportroot;1;1
accessreporttemplate;1;1
accessreporttoplist;1;1
accessus;5;5
accesswatch;2;1
acci;9;5
accident;39;15
accidental;10;6
accidentally;3;3
accidente;1;1
accidentes;1;1
accidents;27;7
accion;2;2
accionaria;2;2
accionarias;1;1
accionario;3;2
acciones;57;8
accionista;1;1
accionistas;9;3
acclaim;2;2
acclaimed;2;2
accom;1;1
accommodate;6;4
accommodated;1;1
accommodating;1;1
accommodation;7;5
accommodations;4;4
accompanied;14;12
accompany;5;5
accompanying;6;4
accomplice;2;1
accomplish;9;6
accomplished;10;7
accomplishes;1;1
accomplishment;4;4
accomplishments;6;6
accomplit;1;1
accord;11;8
accordance;13;11
accorded;5;5
according;139;69
accordingly;6;3
accords;4;4
account;99;59
accountability;5;4
accountant;6;5
accountants;3;2
accounted;4;4
accounting;34;21
accountings;1;1
accounts;21;19
accreditation;7;3
accredited;2;2
accrete;1;1
accrual;1;1
accrue;3;3
accrued;3;1
accruement;2;2
accruvest;1;1
accs;2;2
accsoft;2;2
accsyst;5;5
acct;2;2
accucomm;3;3
accugraph;1;1
acculturation;2;2
accumulate;1;1
accumulated;6;6
accumulating;2;2
accumulation;1;1
accumulator;1;1
accuracies;7;3
accuracy;24;13
accurate;32;13
accurately;8;6
accusation;1;1
accusations;7;5
accuse;4;4
accused;62;29
accuser;1;1
accusers;1;1
accuses;3;2
accusing;3;3
accustomed;1;1
accutek;4;4
acd;10;5
acdi;2;2
acdin;3;3
acdnj;2;2
ace;9;5
acea;3;3
aceinfo;1;1
aceite;9;4
aceites;5;3
acel;1;1
aceler;2;1
acelerada;2;2
acelerando;1;1
acelerar;1;1
acelipar;1;1
aceliparreorganizacios;1;1
aceljuk;1;1
acelkohaszat;1;1
acelmuvek;1;1
acelszerkezeti;1;1
acenet;3;3
aceptado;2;1
aceptados;2;2
acer;2;2
acerbi;3;2
acetrans;1;1
acex;2;2
acf;6;4
acgeas;1;1
ach;1;1
achancellorship;1;1
achebe;1;1
achem;1;1
aches;1;1
achievable;5;2
achieve;36;31
achieved;14;12
achievement;40;14
achievements;7;6
achieving;11;9
achilles;9;8
achkhoi;1;1
achkoi;1;1
achoy;1;1
acid;6;4
acids;3;2
acim;2;2
acinkossagot;1;1
ackerman;6;6
acknowledge;3;3
acknowledged;4;4
acknowledges;1;1
acknowledging;3;2
acknowledgment;1;1
acknowledgments;2;1
acl;1;1
acld;1;1
aclib;2;2
aclu;11;4
acm;5;5
acma;1;1
acmepet;1;1
acn;5;4
acnet;4;3
acns;16;5
acog;2;2
acom;6;6
acommunity;1;1
acomp;3;3
acompa;2;2
acon;1;1
aconcentration;1;1
acoplamientos;1;1
acord;2;2
acordado;5;2
acorns;2;1
acoustic;1;1
acoustics;1;1
acpub;3;3
acpy;1;1
acq;5;5
acqic;2;2
acqiisition;1;1
acqui;1;1
acquion;3;3
acquire;6;5
acquired;33;21
acquiring;5;5
acquisition;16;13
acquisitions;4;4
acquisitive;1;1
acquistion;1;1
acquittals;1;1
acquitted;1;1
acre;1;1
acrecentar;1;1
acreedores;6;2
acres;2;2
acrh;1;1
acrisis;1;1
acrobat;1;1
acronet;2;2
acronym;1;1
across;35;24
acrs;13;5
acs;76;6
acsaladi;1;1
acsaladok;1;1
acsaladtamogatasok;1;1
acsatlakozasi;1;1
acsd;3;3
acsehek;1;1
acsehszlovak;1;1
acselekedetet;2;1
acserepkalyhaba;1;1
acsingozunk;1;1
acskapcsot;1;1
acslab;4;4
acslabs;1;1
acsnet;3;3
acsorognak;1;1
acsp;1;1
acsu;6;6
acsucsnyomozoszerv;1;1
acsurar;1;1
acsworld;1;1
act;290;72
actc;3;3
actcom;14;5
acted;9;4
actein;4;4
acti;1;1
acting;24;16
action;156;55
actions;99;46
actiontech;1;1
activamente;1;1
activate;1;1
activated;9;4
activation;20;3
active;47;22
actively;6;5
activex;1;1
actividad;8;7
actividades;24;8
activision;3;3
activism;2;2
activist;2;1
activists;18;11
activities;121;72
activitiesincompatible;1;1
activity;100;63
activo;24;6
activos;36;7
actlab;1;1
acton;2;2
actor;11;4
actors;6;4
actress;4;4
actrix;4;4
actrn;2;2
acts;48;23
actuador;1;1
actual;55;39
actualities;1;1
actuality;2;2
actualizaci;1;1
actualization;2;2
actualize;1;1
actually;38;28
actualmente;5;3
actuator;4;1
acu;150;41
acuerde;1;1
acuerdo;28;7
acuerdos;8;4
acuity;1;1
acumulaciones;1;1
acumulada;3;2
acumulado;5;4
acumulados;3;3
acupressure;1;1
acupuncture;9;9
acupuncturist;1;1
acupuncturists;1;1
acupunture;1;1
acura;1;1
acusd;1;1
acuson;3;3
acute;17;14
acw;4;4
acxiom;3;3
aczel;3;3
aczelgyorgyi;1;1
aczeli;2;1
ad;90;43
ada;14;4
adaclabs;1;1
adag;1;1
adagoltjutalommal;1;1
adakozzanak;1;1
adalbert;1;1
adalbertrol;1;1
adalek;1;1
adalekul;1;1
adam;23;17
adamantly;1;1
adamnet;1;1
adams;23;17
adando;1;1
adannak;1;1
adapt;3;3
adapta;1;1
adaptacios;1;1
adaptaility;1;1
adaptalasaban;2;1
adaptation;6;6
adaptations;6;3
adaptec;2;2
adapted;3;3
adaptive;2;2
adapts;1;1
adas;1;1
adasa;2;2
adasaival;1;1
adasat;1;1
adasban;1;1
adasvetel;1;1
adat;3;2
adata;1;1
adatai;9;6
adataik;1;1
adataink;2;2
adataitfeldolgozo;1;1
adatara;1;1
adatat;1;1
adatbazisban;1;1
adatfelsorolasbol;1;1
adatgyujtest;1;1
adatik;1;1
adatok;16;13
adatokat;10;10
adatokban;2;1
adatokkal;3;3
adatoknak;1;1
adatoktol;1;1
adatot;2;2
adattar;4;1
adattarba;1;1
adattarban;1;1
adatvedelmi;3;2
adatvedelmibiztos;1;1
adaz;1;1
adazan;1;1
adb;1;1
adc;2;2
adcg;1;1
adclab;1;1
adcom;3;3
adcomp;1;1
adcon;1;1
add;39;22
addabbo;14;14
addams;2;1
added;60;34
addendum;1;1
addict;1;1
addicted;5;2
addiction;12;3
addictions;2;2
addictive;3;2
addicts;1;1
addig;42;27
addigfokoztak;1;1
addigra;2;2
adding;27;21
addis;8;2
additio;1;1
addition;73;48
additional;62;38
additionally;5;5
additionalreconstruction;1;1
additions;2;2
additive;3;1
additives;10;4
addr;85;6
address;74;51
addressed;18;15
addresses;37;24
addressing;16;14
adds;13;8
addyston;1;1
ade;6;5
adea;17;2
adeadly;1;1
adec;1;1
adecuada;1;1
adecuadas;1;1
adecuarlas;1;1
adefinialas;1;1
adelaide;10;6
adelantado;1;1
adelegation;1;1
adelphi;2;2
adem;31;23
ademco;1;1
ademokracia;2;1
ademokrata;1;1
ademokrataban;1;1
ademokratikus;5;4
adentra;1;1
adept;6;4
adeptscience;1;1
adequacies;1;1
adequacy;4;4
adequate;16;15
adequately;9;7
ader;1;1
adeudado;1;1
adevarul;1;1
adevarulban;1;1
adezorganizalt;1;1
adfa;7;4
adfg;1;1
adgbn;1;1
adh;1;1
adhat;1;1
adhatna;1;1
adhatnak;1;1
adhatnanak;1;1
adhato;1;1
adhatok;1;1
adhatom;1;1
adhatomagyar;1;1
adhatoszocialpolitikai;1;1
adhatunk;1;1
adhere;3;3
adhered;1;1
adherence;1;1
adherente;2;1
adherentes;1;1
adherents;2;2
adheres;1;1
adhering;2;2
adherirse;1;1
adhesions;1;1
adhesiva;1;1
adhesive;1;1
adhesiveness;2;1
adi;4;3
adiakok;1;1
adicional;4;3
adicionales;7;5
adicionalmente;16;6
adicon;2;2
adiktat;1;1
adin;1;1
adinet;4;4
aditional;1;1
aditivos;1;1
adj;2;2
adja;18;14
adjaaz;1;1
adjacent;4;4
adjak;14;10
adjanak;6;3
adjatok;2;2
adjon;6;6
adjudic;1;1
adjudicaron;1;1
adjudicataria;1;1
adjudicated;1;1
adjudication;7;3
adjuk;3;3
adjunct;1;1
adjunk;3;3
adjunktus;1;1
adjunktusnak;1;1
adjunta;2;2
adjust;11;10
adjusted;3;3
adjusting;3;2
adjustment;13;10
adjustments;1;1
adjusts;1;1
adl;2;2
adler;3;3
adm;32;6
admark;1;1
admd;1;1
admin;60;9
administer;3;3
administered;28;8
administers;2;1
administraci;8;6
administration;217;76
administrationofficials;1;1
administrations;11;7
administrative;61;23
administrativos;1;1
administrator;13;13
administrators;11;7
adminisztracio;4;4
adminisztracios;1;1
adminsitration;2;1
adminstrati;1;1
adminstrations;1;1
admirable;1;1
admirably;1;1
admiral;1;1
admiralty;1;1
admiration;1;1
admire;1;1
admission;19;9
admissions;8;6
admit;7;4
admits;2;1
admitted;25;17
admittedthat;1;1
admitting;2;2
admu;8;4
adna;3;3
adnak;13;10
adnc;5;5
adnetsol;4;4
adni;27;18
adnia;1;1
ado;29;20
adoado;1;1
adobe;5;5
adobeszedoinek;1;1
adobevetelt;1;1
adocsalas;3;3
adocsalasok;1;1
adocsalassal;1;1
adodik;1;1
adodnak;2;2
adodoan;2;2
adoelengedes;1;1
adoellenori;1;1
adoellenorre;1;1
adoellenort;1;1
adoeloleg;2;1
adoeloleget;1;1
adofegyelmet;1;1
adofizetes;1;1
adofizeteset;1;1
adofizeto;1;1
adofizetok;5;5
adogkeselyu;1;1
adohatosagnak;1;1
adohatosagot;1;1
adoigazolast;1;1
adoja;1;1
adojabol;3;2
adojanak;1;1
adojat;1;1
adok;6;4
adokat;4;3
adokedvezmenyekkel;1;1
adokeletkezett;1;1
adokoteles;2;2
adokulcs;2;2
adokulcsokatemelni;1;1
adokumentumok;1;1
adolescen;1;1
adolescence;2;2
adolescent;11;6
adolescents;5;4
adolesence;1;1
adolf;6;5
adolgozok;1;1
adolph;7;4
adom;1;1
adomanya;1;1
adomanyaikat;1;1
adomanyokat;1;1
adomanyozokat;1;1
adomanyoztak;1;1
adomentes;1;1
adomentesseg;1;1
adomerseklessel;1;1
adon;2;2
adonkbolfizetik;1;1
adontessel;1;1
adony;1;1
adopapirokkal;1;1
adoparadicsomokban;1;1
adoparadicsomovezetebe;1;1
adopolitikaval;1;1
adopres;3;3
adoprest;1;1
adopt;8;8
adopted;19;14
adoptee;1;1
adoptees;2;1
adopting;3;3
adoption;20;12
adopts;1;1
adoreform;2;1
adorendszer;2;2
adorendszerrol;1;1
ados;4;3
adosagguzlettel;1;1
adoskonszolidaciot;3;3
adosok;1;1
adossag;18;12
adossaga;7;5
adossagainkelengedeset;1;1
adossagall;1;1
adossagallomany;4;3
adossagallomanya;2;2
adossagallomanyat;1;1
adossagallomanyt;2;2
adossagalomany;1;1
adossaganak;3;3
adossagara;1;1
adossagat;6;6
adossagbehajto;1;1
adossagbol;2;2
adossagcsapda;2;2
adossagcsapdaba;1;1
adossagcsapdanak;1;1
adossagcsokkentesenek;1;1
adossagcsokkentest;2;2
adossagelengedes;2;2
adossagelengedest;1;1
adossaggal;3;3
adossaghelyzete;1;1
adossagleirasi;1;1
adossagmennyiseget;1;1
adossagmoratorium;1;1
adossagnovekedesenek;1;1
adossagnovelo;1;1
adossagok;2;1
adossagot;6;5
adossagpalyazatainak;1;1
adossagszolgalat;5;3
adossagszolgalati;1;1
adossagszolgalaton;1;1
adossagszolgalattorlesztesere;1;1
adossagterheit;1;1
adossagterhek;1;1
adossagtorelesztes;1;1
adossagtorlesztes;1;1
adossagtorlesztest;1;1
adossagunk;2;2
adossagunkat;1;1
adosuk;1;1
adot;9;8
adotablaja;1;1
adotanacsado;2;1
adoterhe;1;1
adoterhek;2;2
adoterheket;1;1
adotorveny;1;1
adott;70;33
adottak;1;1
adotthirek;1;1
adottneki;1;1
adottsagok;1;1
adottsagokat;1;1
adottszavukat;1;1
adougyben;1;1
adougyeinek;1;1
adougyekkel;1;1
adoval;1;1
adozas;2;2
adozasi;1;1
adozasra;1;1
adozatlanul;1;1
adozok;4;2
adozott;3;1
adozzanak;1;1
adp;11;5
adpc;3;3
adquiri;11;4
adquirida;1;1
adquiridas;3;2
adquirido;2;2
adquiridos;1;1
adquirir;1;1
adquisici;16;7
adquisiciones;1;1
adr;2;2
adra;3;3
adress;3;1
adressa;1;1
adriai;1;1
adrian;4;4
adrien;1;1
adrienne;2;1
ads;9;8
adscapes;4;2
adscendency;1;1
adsnet;10;5
adta;23;15
adtabe;1;1
adtak;24;17
adtalehetosegekkel;1;1
adtam;1;1
adtran;3;3
adtunk;6;4
adubrovnik;1;1
adult;51;17
adultcheck;1;1
adultery;3;3
adulthood;4;3
adults;47;17
adunk;3;3
adv;1;1
adva;4;3
advacom;1;1
advalue;2;2
advance;24;19
advanced;42;32
advancement;9;7
advancements;2;2
advances;14;13
advancing;6;6
advantage;40;32
advantaged;1;1
advantageous;5;4
advantages;64;33
advantis;5;4
advcat;1;1
advection;2;1
advent;22;19
advents;1;1
adventure;14;4
adventures;13;8
adventurous;2;2
adversarial;2;2
adversary;1;1
adverse;7;6
adversely;2;2
adverso;1;1
adversos;2;1
advertise;1;1
advertisement;5;3
advertisements;13;10
advertiser;1;1
advertisers;2;2
advertising;53;19
advertisor;1;1
advice;37;17
advisability;3;3
advisable;3;3
advise;6;6
advised;5;4
adviser;14;9
advisers;11;4
advises;5;3
advising;5;5
advisor;10;9
advisories;1;1
advisors;4;4
advisory;13;7
advmar;1;1
advn;2;2
advocacy;21;16
advocate;4;4
advocated;2;2
advocates;16;12
advocating;1;1
advsyscon;1;1
advtech;2;2
advtel;2;2
ady;5;2
adyacentes;1;1
adyliget;2;1
ae;27;6
aea;1;1
aebekefenntartoo;1;1
aec;2;2
aecd;4;4
aecl;15;5
aecom;3;3
aed;2;2
aedinasztiaito;1;1
aeegy;1;1
aefelszabaditotto;1;1
aegis;1;1
aei;4;4
aeibpa;1;1
ael;1;1
aelott;1;1
aemaskentgondolkozasohoz;1;1
aemegvalosultszocializmuso;1;1
aeneas;4;3
aeneid;10;5
aeordas;1;1
aerendszervaltaso;1;1
aerial;4;4
aero;13;5
aerocombustible;1;1
aerocombustibles;1;1
aerodynamic;1;1
aeron;1;1
aeronautical;1;1
aeronautics;8;6
aeroplane;1;1
aeropuertos;1;1
aerospace;8;6
aes;4;3
aeschylus;4;3
aesop;28;4
aestaley;1;1
aesthetic;9;7
aesthetics;3;3
aeszakertoinekocsalard;1;1
aeszocialista;1;1
aetc;5;4
aethetc;1;1
aetn;2;2
aevilagallamo;1;1
aevisszahoztao;1;1
aexp;1;1
af;213;8
afa;2;2
afalvakat;1;1
afarkas;1;1
afasisztoid;1;1
afb;3;2
afc;1;1
afce;2;2
afebruarban;1;1
afectadas;1;1
afectan;1;1
afectar;1;1
afectaron;1;1
afegyelem;1;1
afeh;1;1
afeher;1;1
afejlesztes;1;1
afejteget;1;1
afejuket;1;1
afeketegazdasag;3;2
afeketegazdasaggal;1;1
afelelem;1;1
afelelosseg;1;1
afeleseguknek;1;1
afelhaborodas;1;1
afelsooktatasban;1;1
afeltamadasnak;1;1
afeltetele;1;1
afelvideken;1;1
afent;3;3
aferfiak;1;1
afesztivalzenekar;1;1
afeszty;1;1
affact;1;1
affair;6;5
affairs;61;38
affairsminister;1;1
affect;63;42
affected;39;32
affecting;30;24
affection;1;1
affectionately;1;1
affects;36;28
affele;3;3
affidavit;3;3
affiliate;1;1
affiliated;2;2
affiliateof;1;1
affiliates;3;2
affiliation;4;4
affinity;1;1
affirm;6;3
affirmance;2;1
affirmative;18;9
affirmatively;1;1
affirmed;6;4
affirming;2;1
affixed;2;2
afflicted;2;2
affliction;3;2
afflicts;1;1
affluence;3;3
affluent;1;1
afford;8;6
affordable;19;7
afforded;4;4
affords;1;1
affrc;4;2
affymax;2;2
affymetrix;2;2
afgan;1;1
afganisztanban;1;1
afganokat;1;1
afghan;1;1
afghanistan;11;5
afianzar;1;1
afiatal;1;1
afiatalkoruak;1;1
aficionado;1;1
afidesz;2;2
afigyelemfelkelto;1;1
afigyelmet;2;2
afiliada;1;1
afines;1;1
afinity;1;1
afinnekhez;1;1
afirm;1;1
afirmar;1;1
afirmativo;1;1
afirst;1;1
afit;4;4
afive;1;1
afixed;1;1
afkgp;1;1
afl;5;2
afm;1;1
afn;537;97
afo;1;1
afogaszat;1;1
afogyasztas;1;1
afolyamatos;1;1
aforementioned;1;1
afoszereplo;1;1
afoul;1;1
afovarosi;2;2
afp;28;18
afpreported;1;1
afraid;7;5
afrakcionak;1;1
afrakciovezetoi;1;1
afranciak;1;1
africa;61;31
african;59;21
afrika;1;1
afrikaban;1;1
afrikai;2;2
afrikaies;1;1
afro;6;3
afrontar;1;1
afrontrol;1;1
afsc;3;3
afsg;1;1
aftenposten;5;5
after;357;130
aftercare;1;1
afterlife;4;1
aftermath;15;11
afternet;2;2
afternoon;6;6
afterward;1;1
afterwards;1;1
aftonbladet;2;2
afts;1;1
afueggetlensegnek;1;1
afuera;4;2
afuggetlen;1;1
afulet;1;1
afuture;1;1
ag;44;12
agabansincs;1;1
agadm;3;3
again;41;30
against;328;114
againsthumanity;1;1
againstpresident;1;1
agalszecsy;2;1
agalt;1;1
agamemnon;5;2
agames;1;1
agapova;2;2
agar;3;1
agara;1;1
agat;1;1
agate;5;5
agatha;1;1
agathon;1;1
agattak;1;1
agazat;3;3
agazatban;1;1
agazatok;1;1
agazatokban;1;1
agazdasag;1;1
agazdasagban;1;1
agazdasagi;2;1
agazdasagot;1;1
agazolaje;1;1
agc;1;1
agchem;1;1
agcom;1;1
agcomed;1;1
agcomp;1;1
agcs;3;3
age;210;61
agec;2;2
agecon;2;2
aged;13;6
agee;2;2
agen;4;3
agencies;99;48
agency;143;56
agenda;15;10
agendas;1;1
agent;66;27
agents;71;20
agentur;1;1
agenzia;1;1
ageostrophic;1;1
ager;2;2
ages;25;19
agforbes;2;2
agg;2;2
aggaly;1;1
aggalyaikat;1;1
aggalyos;1;1
aggalyosnak;3;3
aggastyanig;1;1
aggasztja;2;1
aggasztotta;1;1
aggatjak;1;1
aggodalmainak;1;1
aggodalmait;1;1
aggodalmaskodnak;1;1
aggodalmat;2;2
