Token;Repeticiones;# de archivos
aa;32;7
aaa;24;7
aaas;2;2
aac;2;2
aachen;6;4
aacute;3288;43
aads;2;2
aaicorp;5;5
aamc;4;4
aaped;3;3
aar;5;4
aaron;9;3
aarp;7;5
aas;2;2
aascpa;4;3
aau;20;5
ab;245;14
ababa;2;1
abacom;9;5
aban;2;1
abandon;5;4
abandoning;3;3
abandonment;2;2
abankoknak;2;1
abastece;2;2
abastecimiento;2;1
abated;2;1
abb;39;11
abba;4;4
abbahagyta;3;2
abban;89;36
abbitt;2;2
abbol;16;13
abbott;5;5
abc;24;10
abcs;2;2
abdication;2;2
abdn;5;4
abdnor;12;12
abdul;3;3
abelink;4;4
aber;13;6
aberdeen;12;5
abernethy;2;2
abest;3;3
abetting;8;2
abide;3;3
abiertos;4;2
abilene;6;4
abilities;20;12
ability;94;52
able;81;55
ablecom;3;3
abm;2;2
abnormal;2;2
abo;5;5
aboard;13;12
abolish;4;3
abolishing;4;4
abolishment;3;2
abolition;31;5
abolitionism;4;2
abolitionist;3;2
abolitionists;2;1
aboriginal;2;1
aborted;2;2
abortion;63;13
abortions;14;5
abortusz;2;1
aboszniai;2;2
abou;2;2
abourezk;7;7
about;514;182
above;59;40
abq;17;6
abraham;8;4
abrand;2;1
abreast;3;3
abril;8;4
abroad;37;23
abrupt;3;2
abrutto;2;2
abs;8;5
absalom;2;2
absence;22;21
absent;4;3
absenteeism;2;2
absentia;2;2
absolute;14;11
absolutely;4;4
absolutes;2;2
absorb;2;2
absorbed;2;2
abstract;20;14
abstractions;2;2
abstracts;3;3
absurd;2;2
absurdism;2;1
absurdity;5;3
abszolut;7;7
abszurd;3;3
abudapesti;4;4
abundance;6;5
abundant;5;4
abuse;193;31
abused;11;4
abuser;12;3
abusers;5;3
abuses;9;9
abusing;2;2
abusive;5;5
abzug;4;4
ac;1151;9
aca;7;5
acad;5;2
academia;7;4
academic;46;26
academics;2;2
academy;15;11
acadia;5;5
acadian;2;1
acadiau;5;5
acambuco;6;6
acasa;2;1
acast;4;4
acatlan;2;2
acay;2;2
acb;2;2
acc;29;5
acccss;3;3
accelerated;3;3
acceleration;7;5
accelerations;2;2
accent;6;6
accentsoft;2;2
accentuated;3;1
accept;33;28
acceptability;2;2
acceptable;17;16
acceptance;15;14
accepted;16;16
accepting;6;6
accepts;5;5
access;308;55
accesscom;7;6
accesscomm;3;3
accessed;7;6
accesses;3;1
accessibility;3;3
accessible;7;7
accessing;17;4
accessnv;5;5
accessone;5;5
accessories;12;7
accessus;5;5
accesswatch;2;1
acci;9;5
accident;39;15
accidental;10;6
accidentally;3;3
accidents;27;7
accion;2;2
accionaria;2;2
accionario;3;2
acciones;57;8
accionistas;9;3
acclaim;2;2
acclaimed;2;2
accommodate;6;4
accommodation;7;5
accommodations;4;4
accompanied;14;12
accompany;5;5
accompanying;6;4
accomplice;2;1
accomplish;9;6
accomplished;10;7
accomplishment;4;4
accomplishments;6;6
accord;11;8
accordance;13;11
accorded;5;5
according;139;69
accordingly;6;3
accords;4;4
account;99;59
accountability;5;4
accountant;6;5
accountants;3;2
accounted;4;4
accounting;34;21
accounts;21;19
accreditation;7;3
accredited;2;2
accrue;3;3
accrued;3;1
accruement;2;2
accs;2;2
accsoft;2;2
accsyst;5;5
acct;2;2
accucomm;3;3
acculturation;2;2
accumulated;6;6
accumulating;2;2
accuracies;7;3
accuracy;24;13
accurate;32;13
accurately;8;6
accusations;7;5
accuse;4;4
accused;62;29
accuses;3;2
accusing;3;3
accutek;4;4
acd;10;5
acdi;2;2
acdin;3;3
acdnj;2;2
ace;9;5
acea;3;3
aceite;9;4
aceites;5;3
aceler;2;1
