Token;NumDocumentos;PosicionInicioPosting
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
a;425;0
b;91;26363
c;173;40479
d;138;63906
e;172;77119
f;55;98506
g;103;112552
h;61;120057
i;147;132927
j;74;148624
k;46;153133
l;130;165518
m;152;177208
n;132;199202
o;129;210579
p;142;221092
q;8;241028
r;119;241821
s;382;256731
t;146;285054
u;145;305197
v;76;312472
w;67;321058
x;64;329477
y;106;329708
z;49;331167
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
VACIO;0;-1
aa;7;425
ab;14;542
ac;9;1441
ad;43;3278
ae;6;5169
af;8;5277
ag;12;5969
ah;3;6892
ai;9;7145
aj;1;7542
ak;8;7632
al;56;8456
am;57;12615
an;320;14284
ao;4;17134
ap;12;17178
ba;28;26454
ar;12;18515
as;333;20839
at;320;22477
au;9;24063
bb;13;28698
aw;3;25262
ax;1;25414
bc;10;28788
az;51;25474
bd;5;28877
be;276;28905
bf;4;33229
bg;2;33237
bh;8;33275
bi;5;33312
bk;3;34626
bl;2;34641
bm;11;35230
bn;3;35282
bo;6;35315
