Archivo;Token;TF-IDF
medium.txt;another;0.016646
medium.txt;test;0.012287
medium.txt;file;0.000000
medium.txt;this;0.000000
medium.txt;has;0.000000
medium.txt;some;0.000000
medium.txt;text;0.000000
medium.txt;in;0.000000
medium.txt;it;0.000000
medium.txt;sentences;0.016646
medium.txt;designed;0.006143
medium.txt;to;0.006143
medium.txt;for;0.016646
medium.txt;tricky;0.016646
medium.txt;punctuation;0.016646
medium.txt;sgauch;0.033291
medium.txt;uark;0.033291
medium.txt;edu;0.033291
medium.txt;http;0.016646
medium.txt;www;0.016646
medium.txt;csce;0.033291
medium.txt;jgauch;0.016646
medium.txt;gmail;0.016646
medium.txt;com;0.016646
medium.txt;e;0.016646
medium.txt;lephants;0.016646
medium.txt;are;0.006143
medium.txt;big;0.016646
medium.txt;if;0.016646
medium.txt;x;0.016646
medium.txt;lt;0.016646
medium.txt;then;0.016646
medium.txt;cout;0.016646
medium.txt;penny;0.016646
medium.txt;nickel;0.016646
medium.txt;dime;0.016646
medium.txt;quarter;0.016646
medium.txt;i;0.016646
medium.txt;joined;0.016646
medium.txt;the;0.000000
medium.txt;department;0.016646
medium.txt;there;0.016646
medium.txt;were;0.016646
medium.txt;grams;0.016646
medium.txt;of;0.016646
medium.txt;gold;0.016646
medium.txt;ring;0.016646
medium.txt;people;0.016646
medium.txt;live;0.016646
medium.txt;cincinnati;0.016646
medium.txt;maybe;0.016646
medium.txt;h;0.016646
medium.txt;is;0.000000
medium.txt;a;0.006143
medium.txt;chemical;0.016646
medium.txt;compound;0.016646
hard.txt;susan;0.042254
hard.txt;gauch;0.015595
hard.txt;ph;0.042254
hard.txt;d;0.042254
hard.txt;this;0.000000
hard.txt;file;0.000000
hard.txt;has;0.000000
hard.txt;some;0.000000
hard.txt;text;0.000000
hard.txt;in;0.000000
hard.txt;it;0.000000
hard.txt;the;0.000000
hard.txt;is;0.000000
hard.txt;designed;0.015595
hard.txt;to;0.015595
hard.txt;see;0.042254
hard.txt;how;0.042254
hard.txt;you;0.042254
hard.txt;handle;0.042254
hard.txt;html;0.042254
hard.txt;tags;0.042254
hard.txt;information;0.042254
hard.txt;retrieval;0.042254
hard.txt;home;0.042254
hard.txt;page;0.042254
simple.txt;this;0.000000
simple.txt;is;0.000000
simple.txt;a;0.011263
simple.txt;test;0.011263
simple.txt;file;0.000000
simple.txt;has;0.000000
simple.txt;some;0.000000
simple.txt;text;0.000000
simple.txt;in;0.000000
simple.txt;it;0.000000
simple.txt;the;0.000000
simple.txt;contents;0.030517
simple.txt;are;0.011263
simple.txt;all;0.061034
simple.txt;simple;0.030517
simple.txt;english;0.030517
simple.txt;rare;0.030517
simple.txt;content;0.061034
simple.txt;my;0.030517
simple.txt;last;0.030517
simple.txt;name;0.030517
simple.txt;gauch;0.011263
simple.txt;that;0.030517
simple.txt;nothing;0.030517
simple.txt;very;0.030517
simple.txt;interesting;0.030517
simple.txt;or;0.030517
simple.txt;much;0.030517
